MAXlevel 16, Oh 3.0e-02, Oha 6.0e-04, Bo 0.000, zWall 4, Ldomain 10, drillAMR 1
i dt t ke maxlevel r_b z_b r_base z_base q_jet q_l
0 3.057120e-09 0.00000000 0.000000e+00 15 1.991272e-02 -1.525879e-05 1.312256e-02 -2.020203e+00 0.000000e+00 0.000000e+00
1 3.057120e-09 0.00000000 6.006759e-13 14 1.968384e-02 -9.155273e-05 1.525879e-04 -2.020050e+00 0.000000e+00 0.000000e+00
2 1.957943e-07 0.00000020 4.049024e-10 13 1.922607e-02 -2.008057e-02 3.051758e-04 -2.020203e+00 0.000000e+00 0.000000e+00
3 7.215384e-07 0.00000092 1.739479e-09 13 1.892090e-02 -2.038574e-02 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
4 2.205846e-06 0.00000313 1.042697e-08 13 1.892090e-02 -2.038574e-02 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
5 3.409035e-06 0.00000654 3.590891e-08 13 1.892090e-02 -2.038574e-02 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
6 4.772649e-06 0.00001131 1.004296e-07 13 1.892090e-02 -2.038574e-02 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
7 5.568090e-06 0.00001688 2.109806e-07 13 1.892090e-02 -2.038574e-02 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
8 6.805443e-06 0.00002368 3.900306e-07 13 1.770020e-02 -8.544922e-04 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
9 7.777650e-06 0.00003146 6.454738e-07 13 1.770020e-02 -8.544922e-04 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
10 7.777650e-06 0.00003924 9.477129e-07 13 1.770020e-02 -8.544922e-04 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
11 7.777650e-06 0.00004701 1.289626e-06 13 1.770020e-02 -8.544922e-04 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
12 7.777650e-06 0.00005479 1.664717e-06 13 1.770020e-02 -8.544922e-04 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
13 7.777650e-06 0.00006257 2.067267e-06 12 1.770020e-02 -8.544922e-04 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
14 7.777650e-06 0.00007035 2.403850e-06 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
15 7.777650e-06 0.00007813 2.797218e-06 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
16 1.736111e-05 0.00009549 3.768278e-06 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
