t0 0.494416
0.494453 5.34057600e-03 -1.51864600e+00
0.494531 7.47680700e-03 -1.50979600e+00
0.494609 9.30786100e-03 -1.50247200e+00
0.494687 1.05285600e-02 -1.49575800e+00
0.494766 1.29699700e-02 -1.48996000e+00
0.494844 1.35803200e-02 -1.48446700e+00
0.494922 1.60217300e-02 -1.47958400e+00
0.495000 1.60217300e-02 -1.47470100e+00
0.495078 1.69372600e-02 -1.47012300e+00
0.495156 1.96838400e-02 -1.46615600e+00
0.495234 1.93786600e-02 -1.46188400e+00
0.495312 2.12097200e-02 -1.45822100e+00
0.495391 2.33459500e-02 -1.45455900e+00
0.495469 2.33459500e-02 -1.45089700e+00
0.495547 2.54821800e-02 -1.44754000e+00
0.495625 2.63977100e-02 -1.44418300e+00
0.495703 2.63977100e-02 -1.44082600e+00
0.495781 2.79235800e-02 -1.43777500e+00
0.495859 2.91442900e-02 -1.43472300e+00
0.495937 2.91442900e-02 -1.43167100e+00
0.496016 2.94494600e-02 -1.42861900e+00
0.496094 3.09753400e-02 -1.42587300e+00
0.496172 3.18908700e-02 -1.42312600e+00
0.496250 3.28064000e-02 -1.42038000e+00
0.496328 3.58581500e-02 -1.41793800e+00
0.496406 3.49426300e-02 -1.41519200e+00
0.496484 3.67736800e-02 -1.41275000e+00
0.496562 3.92150900e-02 -1.41030900e+00
0.496641 3.67736800e-02 -1.40756200e+00
0.496719 4.04357900e-02 -1.40542600e+00
0.496797 4.01306200e-02 -1.40298500e+00
0.496875 3.98254400e-02 -1.40054300e+00
0.496953 4.25720200e-02 -1.39840700e+00
0.497031 4.13513200e-02 -1.39596600e+00
0.497109 4.28772000e-02 -1.39382900e+00
0.497187 4.44030800e-02 -1.39169300e+00
0.497266 4.53186000e-02 -1.38955700e+00
0.497344 4.62341300e-02 -1.38742100e+00
0.497422 4.62341300e-02 -1.38528400e+00
0.497500 4.65393100e-02 -1.38314800e+00
0.497578 4.65393100e-02 -1.38101200e+00
0.497656 4.89807100e-02 -1.37918100e+00
0.497734 4.83703600e-02 -1.37704500e+00
0.497812 5.05065900e-02 -1.37521400e+00
0.497891 4.92858900e-02 -1.37307700e+00
0.497969 5.08117700e-02 -1.37124600e+00
0.498047 5.20324700e-02 -1.36941500e+00
0.498125 5.32531700e-02 -1.36758400e+00
0.498203 5.44738800e-02 -1.36575300e+00
0.498281 5.53894000e-02 -1.36392200e+00
0.498359 5.56945800e-02 -1.36209100e+00
0.498437 5.56945800e-02 -1.36026000e+00
0.498516 5.59997600e-02 -1.35842900e+00
0.498594 5.59997600e-02 -1.35659800e+00
0.498672 5.93566900e-02 -1.35507200e+00
0.498750 5.81359900e-02 -1.35324100e+00
0.498828 5.75256300e-02 -1.35141000e+00
0.498906 5.99670400e-02 -1.34988400e+00
0.498984 5.90515100e-02 -1.34805300e+00
0.499062 6.08825700e-02 -1.34652700e+00
0.499141 6.39343300e-02 -1.34500100e+00
0.499219 6.11877400e-02 -1.34317000e+00
0.499297 6.30188000e-02 -1.34164400e+00
0.499375 6.45446800e-02 -1.34011800e+00
0.499453 6.66809100e-02 -1.33859300e+00
0.499531 6.33239700e-02 -1.33676100e+00
0.499609 6.42395000e-02 -1.33523600e+00
0.499687 6.51550300e-02 -1.33371000e+00
0.499766 6.57653800e-02 -1.33218400e+00
0.499844 6.63757300e-02 -1.33065800e+00
0.499922 6.66809100e-02 -1.32913200e+00
0.500000 6.69860800e-02 -1.32760600e+00
0.500078 7.12585400e-02 -1.32638500e+00
0.500156 7.06481900e-02 -1.32486000e+00
0.500234 7.03430200e-02 -1.32333400e+00
0.500312 7.00378400e-02 -1.32180800e+00
0.500391 7.43103000e-02 -1.32058700e+00
0.500469 7.24792500e-02 -1.31906100e+00
0.500547 7.18689000e-02 -1.31753500e+00
0.500625 7.52258300e-02 -1.31631500e+00
0.500703 7.36999500e-02 -1.31478900e+00
