t0 0.494416
0.446406 4.88281200e-03 -1.74707000e+00
0.448906 4.88281200e-03 -1.74707000e+00
0.451406 4.88281200e-03 -1.73730500e+00
0.453906 4.88281200e-03 -1.73730500e+00
0.456406 4.88281200e-03 -1.72753900e+00
0.458906 4.88281200e-03 -1.72753900e+00
0.461406 4.88281200e-03 -1.71777300e+00
0.463906 2.44140600e-03 -1.71533200e+00
0.465156 2.44140600e-03 -1.71044900e+00
0.466406 2.44140600e-03 -1.70556600e+00
0.467656 2.44140600e-03 -1.70556600e+00
0.468906 2.44140600e-03 -1.70068400e+00
0.470156 2.44140600e-03 -1.69580100e+00
0.471406 2.44140600e-03 -1.69091800e+00
0.472656 2.44140600e-03 -1.69091800e+00
0.473906 2.44140600e-03 -1.68603500e+00
0.475156 2.44140600e-03 -1.68115200e+00
0.476406 2.44140600e-03 -1.67627000e+00
0.477656 2.44140600e-03 -1.67138700e+00
0.478906 2.44140600e-03 -1.67138700e+00
0.480156 2.44140600e-03 -1.66650400e+00
0.481406 2.44140600e-03 -1.66162100e+00
0.482656 7.93457000e-02 -1.66040000e+00
0.483281 5.73730500e-02 -1.65795900e+00
0.483437 2.44140600e-03 -1.65673800e+00
0.483516 2.44140600e-03 -1.65673800e+00
0.483594 2.44140600e-03 -1.65673800e+00
0.483672 2.44140600e-03 -1.65673800e+00
0.483750 2.19726600e-02 -1.65673800e+00
0.484375 7.32421900e-02 -1.65918000e+00
0.486875 7.56835900e-02 -1.65185500e+00
0.489375 3.66210900e-02 -1.64209000e+00
0.490625 4.02832000e-02 -1.63842800e+00
0.491875 2.56347700e-02 -1.63354500e+00
0.492500 1.58691400e-02 -1.63110400e+00
0.493125 1.67846700e-02 -1.62835700e+00
0.493281 1.83105500e-02 -1.62866200e+00
0.493906 1.52587900e-04 -1.62454200e+00
0.493984 1.52587900e-04 -1.62423700e+00
0.494062 1.52587900e-04 -1.62393200e+00
0.494141 1.52587900e-04 -1.62362700e+00
0.494219 1.52587900e-04 -1.62362700e+00
0.494297 1.52587900e-04 -1.62515300e+00
0.494375 3.50952100e-03 -1.53054800e+00
