case,Bo,MAXlevel,Oh,beta_deg,nu,alpha
3001,0,13,0.01,30.42,0.3492,0.6058
3002,0,13,0.01097,35.08,0.3841,0.6188
3003,0,13,0.01203,35.42,0.3866,0.6198
3004,0,13,0.0132,35.96,0.3907,0.6214
3005,0,13,0.01447,36.18,0.3925,0.6221
3006,0,13,0.01587,36.99,0.3987,0.6245
3007,0,13,0.01741,37.24,0.4007,0.6253
3008,0,13,0.0191,37.55,0.403,0.6262
3009,0,13,0.02095,37.9,0.4057,0.6272
3010,0,13,0.02297,38.31,0.4089,0.6285
3011,0,13,0.0252,38.65,0.4116,0.6296
3012,0,13,0.02764,38.57,0.411,0.6293
3013,0,13,0.03031,38.65,0.4116,0.6296
3014,0,13,0.03325,38.77,0.4125,0.6299
3015,0,13,0.03647,38.94,0.4139,0.6305
3016,0,13,0.04,39.2,0.416,0.6313
4011,0,14,0.02095,38.04,0.4068,0.6277
4012,0,14,0.02297,38.31,0.4089,0.6285
4013,0,14,0.0252,37.89,0.4057,0.6272
4014,0,14,0.02764,38.37,0.4094,0.6287
4015,0,14,0.03031,38.52,0.4106,0.6292
4016,0,14,0.03325,38.84,0.4131,0.6302
4017,0,14,0.03647,39.01,0.4145,0.6307
4018,0,14,0.04,39.08,0.415,0.6309
5001,0,15,0.03,38.38,0.4095,0.6287
5002,0,15,0.0325,38.64,0.4115,0.6295
2001,1e-3,13,0.0216,40.15,0.4235,0.6343
2002,1e-3,13,0.0233,40.17,0.4236,0.6344
2003,1e-3,13,0.0252,39.62,0.4192,0.6326
2004,1e-3,13,0.0272,39.96,0.4219,0.6337
2005,1e-3,13,0.0294,40.17,0.4236,0.6344
2006,1e-3,13,0.0317,40.32,0.4248,0.6349
2007,1e-3,13,0.0343,40.54,0.4266,0.6355
2008,1e-3,13,0.037,40.71,0.4279,0.6361
